Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Pierre Chainier Rose d’Anjou,"Pierre Chainier Rose d’Anjou (Zinfandel) is a refined rose wine from Germany, specifically the y region. Produced from the 2016 vintage, it offers flavors of mint, wax, oak and is best described as Rich & Juicy. Alcohol content: 12.5%.",$56.90,0.75,Zinfandel,Natural Cork,Germany,"mint, wax, oak",Rose,12.5%,y,Rich & Juicy,2016
Pierre Chainier Cour de Poce Sauvignon Blanc,"Pierre Chainier Cour de Poce Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Slovenia, specifically the v region. Produced from the 2016 vintage, it offers flavors of green apple, lemon zest, coffee and is best described as Light & Elegant. Alcohol content: 14.0%.",$24.00,0.75,Sauvignon Blanc,Natural Cork,Slovenia,"green apple, lemon zest, coffee",White,14.0%,v,Light & Elegant,2016
Vila Real Reserva Branco,"Vila Real Reserva Branco (Sauvignon Blanc) is a refined white wine from Serbia, specifically the b region. Produced from the 2015 vintage, it offers flavors of minerals, tropical fruit, oak and is best described as Delicate & Dry. Alcohol content: 12.5%.",$37.00,0.75,Sauvignon Blanc,Natural Cork,Serbia,"minerals, tropical fruit, oak",White,12.5%,b,Delicate & Dry,2015
Vila Real Reserva Tinto,"Vila Real Reserva Tinto (Valpolicella) is a refined red wine from Moldova, specifically the d region. Produced from the 2012 vintage, it offers flavors of clove, violet, chocolate and is best described as Delicate & Dry. Alcohol content: 14.5%.",$13.83,0.75,Valpolicella,Natural Cork,Moldova,"clove, violet, chocolate",Red,14.5%,d,Delicate & Dry,2012
Cantina di Negrar Valpolicella,"Cantina di Negrar Valpolicella (Valpolicella) is a refined red wine from USA, specifically the Oregon region. Produced from the 2007 vintage, it offers flavors of pepper, flowers, black fruit and is best described as Ripe & Rounded. Alcohol content: 14.0%.",$23.00,0.75,Valpolicella,Natural Cork,USA,"pepper, flowers, black fruit",Red,14.0%,Oregon,Ripe & Rounded,2007
Cantina di Negrar Pinot Grigio,"Cantina di Negrar Pinot Grigio (Trebbiano) is a refined white wine from Chile, specifically the Aconcagua region. Produced from the 2009 vintage, it offers flavors of chocolate, coffee, blackberry and is best described as Delicate & Dry. Alcohol content: 12.0%.",$56.00,0.75,Trebbiano,Natural Cork,Chile,"chocolate, coffee, blackberry",White,12.0%,Aconcagua,Delicate & Dry,2009
Uvica Bio Effet Papillon Cotes du Rhone,"Uvica Bio Effet Papillon Cotes du Rhone (Vernaccia) is a refined white wine from Argentina, specifically the Mendoza region. Produced from the 2009 vintage, it offers flavors of violet, berries, pear and is best described as Ripe & Fruity. Alcohol content: 13.0%.",$26.00,0.75,Vernaccia,Natural Cork,Argentina,"violet, berries, pear",White,13.0%,Mendoza,Ripe & Fruity,2009
Uvica Bio Effet Papillon Cotes du Rhone,"Uvica Bio Effet Papillon Cotes du Rhone (Amarone) is a refined red wine from Moldova, specifically the l region. Produced from the 2014 vintage, it offers flavors of honey, almond, raspberry and is best described as Rich & Juicy. Alcohol content: 11.5%.",$59.00,0.75,Amarone,Natural Cork,Moldova,"honey, almond, raspberry",Red,11.5%,l,Rich & Juicy,2014
Jummare Grillo,"Jummare Grillo (Gewürztraminer) is a refined white wine from Romania, specifically the i region. Produced from the 2018 vintage, it offers flavors of pepper, quince, passion fruit and is best described as Fresh & Elegant. Alcohol content: 13.5%.",$35.00,0.75,Gewürztraminer,Natural Cork,Romania,"pepper, quince, passion fruit",White,13.5%,i,Fresh & Elegant,2018
B.Ink Chardonnay,"B.Ink Chardonnay (Chardonnay) is a refined white wine from Romania, specifically the a region. Produced from the 2006 vintage, it offers flavors of spice, flowers, raisin and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$50.00,0.75,Chardonnay,Natural Cork,Romania,"spice, flowers, raisin",White,14.5%,a,Ripe & Fruity,2006
B.Ink Red Blend,"B.Ink Red Blend (Carignan) is a refined red wine from Chile, specifically the North region. Produced from the 2024 vintage, it offers flavors of spice, date, mushrooms and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$12.48,0.75,Carignan,Natural Cork,Chile,"spice, date, mushrooms",Red,12.0%,North,Aromatic & Floral,2024
100% Wool Sauvignon Blanc Marlborough,"100% Wool Sauvignon Blanc Marlborough (Sauvignon Blanc) is a refined white wine from Australia, specifically the New South Wales region. Produced from the 1999 vintage, it offers flavors of vanilla, vanilla, fig and is best described as Rich & Toasty. Alcohol content: 15.0%.",$22.00,0.75,Sauvignon Blanc,Natural Cork,Australia,"vanilla, vanilla, fig",White,15.0%,New South Wales,Rich & Toasty,1999
Dourthe Bordeaux Blanc Grands Terroirs,"Dourthe Bordeaux Blanc Grands Terroirs (Prosecco) is a refined white wine from South Africa, specifically the Constantia region. Produced from the 2014 vintage, it offers flavors of tobacco, fruit, mango and is best described as Ripe & Rounded. Alcohol content: 11.0%.",$35.00,0.75,Prosecco,Natural Cork,South Africa,"tobacco, fruit, mango",White,11.0%,Constantia,Ripe & Rounded,2014
Dourthe Bordeaux Rouge Grands Terroirs,"Dourthe Bordeaux Rouge Grands Terroirs (Petite Sirah) is a refined red wine from Serbia, specifically the a region. Produced from the 2017 vintage, it offers flavors of earth, mango, nuts and is best described as Light & Elegant. Alcohol content: 13.5%.",$15.00,0.75,Petite Sirah,Natural Cork,Serbia,"earth, mango, nuts",Red,13.5%,a,Light & Elegant,2017
El Coto Rioja Rosado,"El Coto Rioja Rosado (Gamay) is a refined rose wine from Hungary, specifically the g region. Produced from the 2013 vintage, it offers flavors of oak, chocolate, flint and is best described as Delicate & Dry. Alcohol content: 14.0%.",$18.00,0.75,Gamay,Natural Cork,Hungary,"oak, chocolate, flint",Rose,14.0%,g,Delicate & Dry,2013
Dourthe Bordeaux Blanc moelleux Grands Terroirs,"Dourthe Bordeaux Blanc moelleux Grands Terroirs (Muscat) is a refined white wine from Austria, specifically the Vienna region. Produced from the 1999 vintage, it offers flavors of strawberry, flowers, raisin and is best described as Soft & Fruity. Alcohol content: 14.0%.",$53.36,0.75,Muscat,Natural Cork,Austria,"strawberry, flowers, raisin",White,14.0%,Vienna,Soft & Fruity,1999
El Coto Rioja Blanco,"El Coto Rioja Blanco (Torrontes) is a refined white wine from Slovenia, specifically the a region. Produced from the 2010 vintage, it offers flavors of pineapple, cinnamon, fig and is best described as Light & Refreshing. Alcohol content: 11.5%.",$15.80,0.75,Torrontes,Natural Cork,Slovenia,"pineapple, cinnamon, fig",White,11.5%,a,Light & Refreshing,2010
Chozas Carrascal Las Dosces Tinto,"Chozas Carrascal Las Dosces Tinto (Sherry) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2015 vintage, it offers flavors of red berries, coffee, coffee and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$36.23,0.75,Sherry,Natural Cork,Argentina,"red berries, coffee, coffee",Red,12.0%,San Juan,Aromatic & Floral,2015
Casillero del Diablo Carmenere Reserva,"Casillero del Diablo Carmenere Reserva (Carmenere) is a refined red wine from Chile, specifically the Aconcagua region. Produced from the 2006 vintage, it offers flavors of tobacco, flowers, pepper and is best described as Savoury & Full Bodied. Alcohol content: 12.0%.",$32.00,0.75,Carmenere,Natural Cork,Chile,"tobacco, flowers, pepper",Red,12.0%,Aconcagua,Savoury & Full Bodied,2006
Casillero del Diablo Cabernet Sauvignon Reserva,"Casillero del Diablo Cabernet Sauvignon Reserva (Cabernet Sauvignon) is a refined red wine from Chile, specifically the Central Valley region. Produced from the 2024 vintage, it offers flavors of almond, pineapple, red berries and is best described as Bold & Spicy. Alcohol content: 14.5%.",$51.00,0.75,Cabernet Sauvignon,Natural Cork,Chile,"almond, pineapple, red berries",Red,14.5%,Central Valley,Bold & Spicy,2024
Casillero del Diablo Chardonnay Reserva,"Casillero del Diablo Chardonnay Reserva (Chardonnay) is a refined white wine from Chile, specifically the Central Valley region. Produced from the 2004 vintage, it offers flavors of blackberry, tobacco, red berries and is best described as Crisp & Fruity. Alcohol content: 12.0%.",$8.00,0.75,Chardonnay,Natural Cork,Chile,"blackberry, tobacco, red berries",White,12.0%,Central Valley,Crisp & Fruity,2004
Casillero del Diablo Sauvignon Blanc Reserva,"Casillero del Diablo Sauvignon Blanc Reserva (Sauvignon Blanc) is a refined white wine from Chile, specifically the Chile region. Produced from the 2017 vintage, it offers flavors of tobacco, oak, green apple and is best described as Light & Refreshing. Alcohol content: 14.0%.",$13.00,0.75,Sauvignon Blanc,Natural Cork,Chile,"tobacco, oak, green apple",White,14.0%,Chile,Light & Refreshing,2017
Nottage Hill Chardonnay,"Nottage Hill Chardonnay (Chardonnay) is a refined white wine from Georgia, specifically the a region. Produced from the 2022 vintage, it offers flavors of blueberry, pepper, black fruit and is best described as Smooth & Mellow. Alcohol content: 13.5%.",$21.00,0.75,Chardonnay,Natural Cork,Georgia,"blueberry, pepper, black fruit",White,13.5%,a,Smooth & Mellow,2022
Nottage Hill Shiraz,"Nottage Hill Shiraz (Petit Verdot) is a refined red wine from Moldova, specifically the o region. Produced from the 2016 vintage, it offers flavors of honey, incense, cinnamon and is best described as Smooth & Mellow. Alcohol content: 14.5%.",$24.52,0.75,Petit Verdot,Natural Cork,Moldova,"honey, incense, cinnamon",Red,14.5%,o,Smooth & Mellow,2016
Beau Mayne Rose 2022,"Beau Mayne Rose 2022 (Grenache) is a refined rose wine from Italy, specifically the Piedmont region. Produced from the 2022 vintage, it offers flavors of chocolate, oak, hazelnut and is best described as Soft & Fruity. Alcohol content: 11.5%.",$8.20,0.75,Grenache,Natural Cork,Italy,"chocolate, oak, hazelnut",Rose,11.5%,Piedmont,Soft & Fruity,2022
Nottage Hill Cabernet Shiraz,"Nottage Hill Cabernet Shiraz (Brunello) is a refined red wine from Australia, specifically the Victoria region. Produced from the 1998 vintage, it offers flavors of flowers, grass, cinnamon and is best described as Fresh & Elegant. Alcohol content: 11.5%.",$58.15,0.75,Brunello,Natural Cork,Australia,"flowers, grass, cinnamon",Red,11.5%,Victoria,Fresh & Elegant,1998
Uvica Ardeche Sauvignon blanc Sarrasine,"Uvica Ardeche Sauvignon blanc Sarrasine (Verdicchio) is a refined white wine from Georgia, specifically the i region. Produced from the 2005 vintage, it offers flavors of tobacco, tobacco, honey and is best described as Crisp & Zesty. Alcohol content: 11.5%.",$11.00,0.75,Verdicchio,Natural Cork,Georgia,"tobacco, tobacco, honey",White,11.5%,i,Crisp & Zesty,2005
Uvica Ardeche Syrah red Basalte,"Uvica Ardeche Syrah red Basalte (Syrah) is a refined red wine from Slovenia, specifically the S region. Produced from the 2019 vintage, it offers flavors of flowers, plum, black fruit and is best described as Aromatic & Floral. Alcohol content: 12.5%.",$14.00,0.75,Syrah,Natural Cork,Slovenia,"flowers, plum, black fruit",Red,12.5%,S,Aromatic & Floral,2019
Uvica Ardeche Chardonnay blanc Gravettes,"Uvica Ardeche Chardonnay blanc Gravettes (Chardonnay) is a refined white wine from England, specifically the Sussex region. Produced from the 2012 vintage, it offers flavors of flowers, clove, grass and is best described as Light & Refreshing. Alcohol content: 15.0%.",$23.39,0.75,Chardonnay,Natural Cork,England,"flowers, clove, grass",White,15.0%,Sussex,Light & Refreshing,2012
Uvica Ardeche Pinot Noir Buis d’Aps,"Uvica Ardeche Pinot Noir Buis d’Aps (Pinot Noir) is a refined red wine from Argentina, specifically the San Juan region. Produced from the 2006 vintage, it offers flavors of raisin, wax, red fruit and is best described as Rich & Juicy. Alcohol content: 11.5%.",$18.80,0.75,Pinot Noir,Natural Cork,Argentina,"raisin, wax, red fruit",Red,11.5%,San Juan,Rich & Juicy,2006
Beau Mayne Rouge 2020,"Beau Mayne Rouge 2020 (Pinot Noir) is a refined red wine from Austria, specifically the Vienna region. Produced from the 2020 vintage, it offers flavors of oak, honey, nuts and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$19.00,0.75,Pinot Noir,Natural Cork,Austria,"oak, honey, nuts",Red,11.5%,Vienna,Savoury & Full Bodied,2020
Beau Mayne Sauvignon Blanc 2022,"Beau Mayne Sauvignon Blanc 2022 (Sauvignon Blanc) is a refined white wine from Greece, specifically the G region. Produced from the 2022 vintage, it offers flavors of lemon zest, peanut, cinnamon and is best described as Crisp & Zesty. Alcohol content: 12.5%.",$51.01,0.75,Sauvignon Blanc,Natural Cork,Greece,"lemon zest, peanut, cinnamon",White,12.5%,G,Crisp & Zesty,2022
Fish Hoek Sauvignon Blanc,"Fish Hoek Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2021 vintage, it offers flavors of clove, green apple, oak and is best described as Crisp & Fruity. Alcohol content: 13.5%.",$28.00,0.75,Sauvignon Blanc,Natural Cork,Argentina,"clove, green apple, oak",White,13.5%,San Juan,Crisp & Fruity,2021
Domini Veneti Corvina Verona,"Domini Veneti Corvina Verona (Gamay) is a refined red wine from England, specifically the Kent region. Produced from the 2005 vintage, it offers flavors of earth, hazelnut, oak and is best described as Smooth & Light. Alcohol content: 14.5%.",$14.00,0.75,Gamay,Natural Cork,England,"earth, hazelnut, oak",Red,14.5%,Kent,Smooth & Light,2005
Domini Veneti Garganega Verona,"Domini Veneti Garganega Verona (Sauvignon Blanc) is a refined white wine from Austria, specifically the Lower Austria region. Produced from the 2011 vintage, it offers flavors of spice, honeysuckle, lemon zest and is best described as Light & Refreshing. Alcohol content: 12.5%.",$38.00,0.75,Sauvignon Blanc,Natural Cork,Austria,"spice, honeysuckle, lemon zest",White,12.5%,Lower Austria,Light & Refreshing,2011
Fish Hoek Shiraz,"Fish Hoek Shiraz (Carignan) is a refined red wine from Italy, specifically the Veneto region. Produced from the 2016 vintage, it offers flavors of minerals, incense, vanilla and is best described as Smooth & Light. Alcohol content: 14.5%.",$48.00,0.75,Carignan,Natural Cork,Italy,"minerals, incense, vanilla",Red,14.5%,Veneto,Smooth & Light,2016
Masseria Altemura Falanghina,"Masseria Altemura Falanghina (Muscat) is a refined white wine from Australia, specifically the Western Australia region. Produced from the 1999 vintage, it offers flavors of oak, green apple, pepper and is best described as Crisp & Zesty. Alcohol content: 15.0%.",$13.27,0.75,Muscat,Natural Cork,Australia,"oak, green apple, pepper",White,15.0%,Western Australia,Crisp & Zesty,1999
Cantina di Negrar Bardolino Classico,"Cantina di Negrar Bardolino Classico (Bardolino) is a refined red wine from Romania, specifically the i region. Produced from the 2008 vintage, it offers flavors of tobacco, almond, almond and is best described as Crisp & Zesty. Alcohol content: 14.0%.",$52.00,0.75,Bardolino,Natural Cork,Romania,"tobacco, almond, almond",Red,14.0%,i,Crisp & Zesty,2008
